time,Xt,Yt,Ht,Vt,Rt,Xn,Yn,Hn,Error,Rate,Velocity,Control_l,Control_r
13.0480318069458,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
13.09787106513977,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
13.148095846176147,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
13.19794487953186,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
13.248473644256592,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-6.0617025117323144e-06,0.0,6.0,6.0
13.298208236694336,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-5.2845625589409e-06,0.0,6.0,6.0
13.348244428634644,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-4.684045041702753e-06,0.0,6.0,6.0
13.399160623550415,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-4.206081944741587e-06,0.0,6.0,6.0
13.448721647262573,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-3.816630417665639e-06,0.0,6.0,6.0
13.499204397201538,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-3.493187545677041e-06,0.0,6.0,6.0
13.549121379852295,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,-3.2202825671608413e-06,0.0,6.0,6.0
13.597712993621826,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,1.0957139477819512e-05,0.0,6.0,6.0
13.647929191589355,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,1.0236275702442755e-05,0.0,6.0,6.0
13.698606729507446,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,9.604407377980641e-06,0.0,6.0,6.0
13.749716520309448,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,9.046012054698888e-06,0.0,6.0,6.0
13.798783302307129,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,8.548978807653093e-06,0.0,6.0,6.0
13.848684787750244,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,8.189022070456872e-06,0.0,6.0,6.0
13.89806604385376,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,7.779571253549599e-06,0.0,6.0,6.0
13.947970390319824,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,7.480357175961012e-06,0.0,6.0,6.0
13.999013423919678,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,7.1372217460497724e-06,0.0,6.0,6.0
14.048591613769531,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,6.824185896771355e-06,0.0,6.0,6.0
14.099234819412231,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,6.537455565571912e-06,0.0,6.0,6.0
14.148733377456665,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,6.2738486351253426e-06,0.0,6.0,6.0
14.199445724487305,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,6.030676339361266e-06,0.0,6.0,6.0
14.248640298843384,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,1.457852150520673e-05,0.0,6.0,6.0
14.299054145812988,0.0,-0.0,2.2079453820822437e-09,0.6,0.0,0.0,0.0,0.0,0.0,1.4057860283208527e-05,0.0,6.0,6.0
