time,Xt,Yt,Ht,Vt,Rt,Xn,Yn,Hn,Error,Rate,Velocity,Control_l,Control_r
3.6432907581329346,0.0,-0.0,2.2079453820822437e-09,0.9264800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2656,9.2656
3.6956629753112793,0.0,-0.0,2.2079453820822437e-09,0.92688,0.0,0.0,0.0,0.0,0.0,-4.200851937161471e-05,0.0,9.2696,9.2696
3.743342399597168,0.0,-0.0,2.2079453820822437e-09,0.92728,0.0,0.0,0.0,0.0,0.0,-1.1982718924274728e-05,0.0,9.2736,9.2736
3.7936155796051025,0.0,-0.0,2.2079453820822437e-09,0.9276800000000001,0.0,0.0,0.0,0.0,0.0,-9.985603763497624e-06,0.0,9.2776,9.2776
3.84313702583313,0.0,-0.0,2.2079453820822437e-09,0.9280799999999999,0.0,0.0,0.0,0.0,0.0,-8.559091793164746e-06,0.0,9.281600000000001,9.281600000000001
3.8938381671905518,0.0,-0.0,2.2079453820822437e-09,0.92848,0.0,0.0,0.0,0.0,0.0,-7.489207191317197e-06,0.0,9.2856,9.2856
3.9347434043884277,0.0,-0.0,2.2079453820822437e-09,0.92872,0.0,0.0,0.0,0.0,0.0,-6.966705214600606e-06,0.0,9.2888,9.2888
3.992931604385376,0.0,-0.0,2.2079453820822437e-09,0.9292000000000002,0.0,0.0,0.0,0.0,0.0,-6.241007813055081e-06,0.0,9.2928,9.2928
4.0449254512786865,0.0,-0.0,2.2079453820822437e-09,0.9295999999999999,0.0,0.0,0.0,0.0,0.0,-9.243296123110602e-06,0.0,9.296800000000001,9.296800000000001
4.093247175216675,0.0,-0.0,2.2079453820822437e-09,0.9300000000000002,0.0,0.0,0.0,0.0,0.0,-8.459966872559658e-06,0.0,9.3008,9.3008
4.142933368682861,0.0,-0.0,2.2079453820822437e-09,0.9304,0.0,0.0,0.0,0.0,0.0,-7.799032683537701e-06,0.0,9.3048,9.3048
4.193074464797974,0.0,-0.0,2.2079453820822437e-09,0.9308,0.0,0.0,0.0,0.0,0.0,-7.233885960966425e-06,0.0,9.308800000000002,9.308800000000002
4.243264436721802,0.0,-0.0,2.2079453820822437e-09,0.9312000000000001,0.0,0.0,0.0,0.0,0.0,-6.7451103448780575e-06,0.0,9.3128,9.3128
4.295047998428345,0.0,-0.0,2.2079453820822437e-09,0.9316000000000001,0.0,0.0,0.0,0.0,0.0,-6.318205005118352e-06,0.0,9.3168,9.3168
4.343425035476685,0.0,-0.0,2.2079453820822437e-09,0.9319999999999999,0.0,0.0,0.0,0.0,0.0,-5.942121687264071e-06,0.0,9.3208,9.3208
4.396059513092041,0.0,-0.0,2.2079453820822437e-09,0.9324000000000002,0.0,0.0,0.0,0.0,0.0,-5.608294888742221e-06,0.0,9.3248,9.3248
4.443230390548706,0.0,-0.0,2.2079453820822437e-09,0.9327999999999999,0.0,0.0,0.0,0.0,0.0,-5.309981552978629e-06,0.0,9.328800000000001,9.328800000000001
4.493314743041992,0.0,-0.0,2.2079453820822437e-09,0.9332000000000001,0.0,0.0,0.0,0.0,0.0,-5.041800856087271e-06,0.0,9.3328,9.3328
4.543912649154663,0.0,-0.0,2.2079453820822437e-09,0.9336000000000001,0.0,0.0,0.0,0.0,0.0,-4.7994067473098796e-06,0.0,9.3368,9.3368
4.597946643829346,0.0,-0.0,2.2079453820822437e-09,0.934,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.579250615882171e-06,0.0,9.34,9.34
4.643001079559326,0.0,-0.0,2.2079453820822437e-09,0.9344000000000001,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.3784064139495686e-06,0.0,9.3448,9.3448
4.6928393840789795,0.0,-0.0,2.2079453820822437e-09,0.9348000000000001,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.194439866116883e-06,0.0,9.3488,9.3488
4.746155261993408,0.0,-0.0,2.2079453820822437e-09,0.9352,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.025309321831026e-06,0.0,9.3528,9.3528
4.792828321456909,0.0,-0.0,2.2079453820822437e-09,0.9356000000000002,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-3.869289665336614e-06,0.0,9.3568,9.3568
4.843521595001221,0.0,-0.0,2.2079453820822437e-09,0.9359999999999998,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-3.72491326070725e-06,0.0,9.360800000000001,9.360800000000001
4.893193006515503,0.0,-0.0,2.2079453820822437e-09,0.9364000000000001,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-3.590923642547084e-06,0.0,9.3648,9.3648
4.943657636642456,0.0,-0.0,2.2079453820822437e-09,0.9368000000000001,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.40069775666075e-09,0.0,9.3688,9.3688
4.993901491165161,0.0,-0.0,2.2079453820822437e-09,0.9371200000000002,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.282558275070956e-09,0.0,9.372,9.372
5.0434794425964355,0.0,-0.0,2.2079453820822437e-09,0.93752,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.143514238432824e-09,0.0,9.376000000000001,9.376000000000001
5.093286514282227,0.0,-0.0,2.2079453820822437e-09,0.9379200000000001,0.0,0.04443911134244187,0.01560711129336405,0.0,0.047100069424889354,-4.013215105909397e-09,0.0,9.38,9.38
